name_clean,SCIENTIFIC.NAME,specID
Brown_Thrasher,Toxostoma rufum,OTT:293380
American_Coot,Fulica americana,OTT:570965
Common_Loon,Gavia immer,OTT:1057518
American_Robin,Turdus migratorius,OTT:96291
Great_Egret,Ardea alba,OTT:625779
Carolina_Chickadee,Poecile carolinensis,OTT:17255
Mourning_Dove,Zenaida macroura,OTT:183576
House_Finch,Haemorhous mexicanus,OTT:711865
Northern_Cardinal,Cardinalis cardinalis,OTT:307364
Blue_Jay,Cyanocitta cristata,OTT:30736
Tufted_Titmouse,Baeolophus bicolor,OTT:922720
Dark-eyed_Junco,Junco hyemalis,OTT:989502
Indigo_Bunting,Passerina cyanea,OTT:939942
Red-winged_Blackbird,Agelaius phoeniceus,OTT:226605
Yellow-bellied_Sapsucker,Sphyrapicus varius,OTT:744570
Fish_Crow,Corvus ossifragus,OTT:406128
Least_Sandpiper,Calidris minutilla,OTT:654822
Eastern_Phoebe,Sayornis phoebe,OTT:1065604
Chestnut-sided_Warbler,Setophaga pensylvanica,OTT:532755
Northern_Mockingbird,Mimus polyglottos,OTT:571310
Sandhill_Crane,Antigone canadensis,OTT:257929
European_Starling,Sturnus vulgaris,OTT:565813
Double-crested_Cormorant,Phalacrocorax auritus,OTT:170200
Pileated_Woodpecker,Dryocopus pileatus,OTT:733984
American_Crow,Corvus brachyrhynchos,OTT:331952
Eastern_Towhee,Pipilo erythrophthalmus,OTT:453762
Mallard,Anas platyrhynchos,OTT:765167
Red-eyed_Vireo,Vireo olivaceus,OTT:604019
Greater_White-fronted_Goose,Anser albifrons,OTT:430239
White-eyed_Vireo,Vireo griseus,OTT:621714
Whimbrel,Numenius phaeopus,OTT:1080871
Chimney_Swift,Chaetura pelagica,OTT:609785
Purple_Martin,Progne subis,OTT:621799
Redhead,Aythya americana,OTT:693332
Great_Blue_Heron,Ardea herodias,OTT:744564
Royal_Tern,Thalasseus maximus,OTT:1073497
Pine_Warbler,Setophaga pinus,OTT:352791
Killdeer,Charadrius vociferus,OTT:661811
Hooded_Merganser,Lophodytes cucullatus,OTT:809009
Downy_Woodpecker,Dryobates pubescens,OTT:873958
Orchard_Oriole,Icterus spurius,OTT:788030
Acadian_Flycatcher,Empidonax virescens,OTT:675007
Summer_Tanager,Piranga rubra,OTT:1075670
Eastern_Kingbird,Tyrannus tyrannus,OTT:463183
Lesser_Scaup,Aythya affinis,OTT:1044556
Hairy_Woodpecker,Dryobates villosus,OTT:733988
Carolina_Wren,Thryothorus ludovicianus,OTT:1036137
Sharp-shinned_Hawk,Accipiter striatus,OTT:1015194
Yellow-rumped_Warbler,Setophaga coronata,OTT:451168
Ruby-throated_Hummingbird,Archilochus colubris,OTT:759410
Yellow-throated_Warbler,Setophaga dominica,OTT:618690
Chipping_Sparrow,Spizella passerina,OTT:989504
Kentucky_Warbler,Geothlypis formosa,OTT:384466
Eastern_Bluebird,Sialia sialis,OTT:775715
Canada_Goose,Branta canadensis,OTT:714461
Wood_Duck,Aix sponsa,OTT:765195
Black_Vulture,Coragyps atratus,OTT:316995
Northern_Flicker,Colaptes auratus,OTT:733990
Red-bellied_Woodpecker,Melanerpes carolinus,OTT:119082
Philadelphia_Vireo,Vireo philadelphicus,OTT:621708
Scarlet_Tanager,Piranga olivacea,OTT:69808
Willet,Tringa semipalmata,OTT:446288
Northern_Parula,Setophaga americana,OTT:956241
Bufflehead,Bucephala albeola,OTT:654820
Tricolored_Heron,Egretta tricolor,OTT:881921
Ruby-crowned_Kinglet,Regulus calendula,OTT:3599890
Bonapartes_Gull,Chroicocephalus philadelphia,OTT:1026258
Virginia_Rail,Rallus limicola,OTT:502780
Coopers_Hawk,Accipiter cooperii,OTT:764598
Blue-gray_Gnatcatcher,Polioptila caerulea,OTT:443266
House_Sparrow,Passer domesticus,OTT:745175
Pine_Siskin,Spinus pinus,OTT:559264
Belted_Kingfisher,Megaceryle alcyon,OTT:839181
Herring_Gull,Larus argentatus,OTT:791957
Bald_Eagle,Haliaeetus leucocephalus,OTT:1012350
American_Kestrel,Falco sparverius,OTT:964519
Swamp_Sparrow,Melospiza georgiana,OTT:265545
Song_Sparrow,Melospiza melodia,OTT:265548
Gray_Catbird,Dumetella carolinensis,OTT:658838
Least_Flycatcher,Empidonax minimus,OTT:604018
Northern_Bobwhite,Colinus virginianus,OTT:204709
Snowy_Egret,Egretta thula,OTT:126087
Black-and-white_Warbler,Mniotilta varia,OTT:757859
Red-tailed_Hawk,Buteo jamaicensis,OTT:509839
Hooded_Warbler,Setophaga citrina,OTT:3597211
Greater_Scaup,Aythya marila,OTT:1044561
Turkey_Vulture,Cathartes aura,OTT:9106
Ring-billed_Gull,Larus delawarensis,OTT:119599
Marbled_Godwit,Limosa fedoa,OTT:413323
Palm_Warbler,Setophaga palmarum,OTT:505064
White-throated_Sparrow,Zonotrichia albicollis,OTT:265547
Eastern_Meadowlark,Sturnella magna,OTT:489144
Reddish_Egret,Egretta rufescens,OTT:744560
Cliff_Swallow,Petrochelidon pyrrhonota,OTT:302798
Cattle_Egret,Bubulcus ibis,OTT:729476
Northern_Rough-winged_Swallow,Stelgidopteryx serripennis,OTT:814755
Blue-headed_Vireo,Vireo solitarius,OTT:48934
American_Goldfinch,Spinus tristis,OTT:559260
Great_Crested_Flycatcher,Myiarchus crinitus,OTT:835027
American_Redstart,Setophaga ruticilla,OTT:285200
Laughing_Gull,Leucophaeus atricilla,OTT:436747
Yellow-throated_Vireo,Vireo flavifrons,OTT:289080
Savannah_Sparrow,Passerculus sandwichensis,OTT:453758
Common_Yellowthroat,Geothlypis trichas,OTT:998127
Cedar_Waxwing,Bombycilla cedrorum,OTT:606625
Pied-billed_Grebe,Podilymbus podiceps,OTT:962399
Ruddy_Duck,Oxyura jamaicensis,OTT:88378
Barn_Swallow,Hirundo rustica,OTT:1040135
Magnolia_Warbler,Setophaga magnolia,OTT:532751
Broad-winged_Hawk,Buteo platypterus,OTT:36398
Brown-headed_Cowbird,Molothrus ater,OTT:213450
White-breasted_Nuthatch,Sitta carolinensis,OTT:82247
Blue_Grosbeak,Passerina caerulea,OTT:486840
Gray-cheeked_Thrush,Catharus minimus,OTT:920831
House_Wren,Troglodytes aedon,OTT:293378
Prothonotary_Warbler,Protonotaria citrea,OTT:285212
Brown-headed_Nuthatch,Sitta pusilla,OTT:377450
Common_Grackle,Quiscalus quiscula,OTT:283668
Least_Tern,Sternula antillarum,OTT:499945
Bay-breasted_Warbler,Setophaga castanea,OTT:85255
Red-headed_Woodpecker,Melanerpes erythrocephalus,OTT:800693
Field_Sparrow,Spizella pusilla,OTT:989508
Sandwich_Tern,Thalasseus sandvicensis,OTT:154128
Gadwall,Mareca strepera,OTT:30856
Wood_Thrush,Hylocichla mustelina,OTT:712913
Canvasback,Aythya valisineria,OTT:832938
Green_Heron,Butorides virescens,OTT:154822
Rose-breasted_Grosbeak,Pheucticus ludovicianus,OTT:370813
Lesser_Yellowlegs,Tringa flavipes,OTT:55408
Red-shouldered_Hawk,Buteo lineatus,OTT:781301
Yellow-breasted_Chat,Icteria virens,OTT:998133
Tennessee_Warbler,Leiothlypis peregrina,OTT:430151
Caspian_Tern,Hydroprogne caspia,OTT:651058
