species,common_name,difference,diff_SE,k,inat_medPred,inat_SE,inat_medResp,inat_GAM_pval,ebird_medPred,ebird_SE,ebird_medResp,ebird_GAM_pval,lb95CI,ub95CI,pval_uncorr,pval,sigdir,name_clean,specID,family,order,crest,max.color.contrast,pelagic,mass,shape,endangerment,all_success,rate,nhex
Regulus satrapa,Golden-crowned_Kinglet,-1.146785761770246,0.4953260588498273,35,-6.9871524469704624,0.5256930257596725,9.228206137545156e-4,1,-6.208323408220641,0.00380323953196106,0.00200856650166779,0.9925,-2.1176069977200744,-0.17596452582041744,0.02060123055407803,0.04640181929561385,Underreported,Golden-crowned_Kinglet,OTT:3599325,Regulidae,Passeriformes,none,80,0,6.19,Chickadee,Least Concern,1046327,0.02956839648108141,4156
Eremophila alpestris,Horned_Lark,-1.8958480656475332,0.4787784174724113,35,-7.796261776652919,0.49141302497963424,4.111004532089579e-4,0.5225,-6.023316239094783,0.00907471569547582,0.00241577547137984,0.6425,-2.834236520468542,-0.9574596108265248,7.502483526087059e-5,2.304334225869597e-4,Underreported,Horned_Lark,OTT:998122,Alaudidae,Passeriformes,short,70,0,33.33,Sparrow,Least Concern,692231,0.01956191579161722,4417
Contopus cooperi,Olive-sided_Flycatcher,-0.8807646261262123,7.461056540662199,35,-8.290618918280614,7.499739366272711,2.5079623883864267e-4,0.35,-7.800097805826157,0.01062471507744225,4.095271252940617e-4,0.47,-15.504166732441124,13.742637480188698,0.9060294315769902,0.9928000296833465,Non-significant,Olive-sided_Flycatcher,OTT:1095262,Tyrannidae,Passeriformes,none,45,0,32.1,Flycatcher,Near Threatened,162955,0.00460498300108343,3532
Sitta canadensis,Red-breasted_Nuthatch,-0.7417371216242363,0.3331259684621459,35,-6.343618988922499,0.3693536980953381,0.00175484389566334,1,-6.077718808575561,0.011436638526063,0.00228815472057412,0.7975,-1.3946520221250682,-0.08882222112340454,0.025974251849340428,0.057679911383746583,Non-significant,Red-breasted_Nuthatch,OTT:603923,Sittidae,Passeriformes,none,60,0,9.8,Nuthatch,Least Concern,1404200,0.03968161228634502,4336
Vireo olivaceus,Red-eyed_Vireo,-1.4925655015767054,0.3759463177395553,35,-6.674594581642445,0.4025298919284075,0.00126099224788673,1,-5.372784653255517,0.00626514575450241,0.00461974807155162,1,-2.229406744466685,-0.7557242586867257,7.182561092155672e-5,2.220491108882113e-4,Underreported,Red-eyed_Vireo,OTT:604019,Vireonidae,Passeriformes,none,70,0,16.06,Warbler,Least Concern,1684110,0.04759165365870711,3588
Vireo gilvus,Warbling_Vireo,-2.6457309989016493,1.8182941293796275,35,-8.50805043375699,1.8046824246086803,2.0179620613876395e-4,1,-5.769044269783759,0.01000090974733796,0.00311301943383654,0.1075,-6.209522005786332,0.918060007983033,0.1456520513423504,0.2619521683837709,Non-significant,Warbling_Vireo,OTT:621717,Vireonidae,Passeriformes,none,90,0,12.67,Warbler,Least Concern,1068388,0.03019182337799714,4265
Piranga ludoviciana,Western_Tanager,-0.3266820899001819,0.33193068469052767,35,-5.868387339256545,0.37300536485856906,0.0028194575267420402,1,-5.600844336582188,0.01326985751975856,0.00368114192003403,1,-0.9772542772573367,0.32389009745697295,0.32502324306601055,0.5090595826828576,Non-significant,Western_Tanager,OTT:565244,Cardinalidae,Passeriformes,none,100,0,28.1,Finch,Least Concern,456615,0.01290358880083281,2320
Setophaga coronata,Yellow-rumped_Warbler,-0.5887123673119024,0.09398919933752008,35,-5.1762100184656745,0.09226901491218892,0.00561764075606509,1,-4.619291381903482,0.02731727856354223,0.00976351429813977,0.755,-0.7729278129491977,-0.40449692167460716,3.7614816026036183e-10,1.727359998088846e-9,Underreported,Yellow-rumped_Warbler,OTT:451168,Parulidae,Passeriformes,none,55,0,11.94,Warbler,Least Concern,4104238,0.11598261006045016,5099
Corvus brachyrhynchos,American_Crow,-2.068446094139153,0.0970345711659696,30,-5.907754691035667,0.11603588095849549,0.00271091439299813,1,-3.863657656507996,7.032254120352251e-4,0.02055951434804819,0.9725,-2.2586303588797425,-1.878261829398564,7.965666399293923e-101,9.91515843912112e-100,Underreported,American_Crow,OTT:331952,Corvidae,Passeriformes,none,50,0,448.76,Crow/Jay,Least Concern,8904323,0.25162932129211263,4832
Falco sparverius,American_Kestrel,-0.4978184771160448,0.04664473046380051,30,-5.644178922589988,0.05313735887702065,0.00352557854257926,1,-5.1621486041072515,0.00762997512252265,0.00569673753694321,1,-0.5892404688936721,-0.40639648533841755,1.3681096566967266e-26,9.516409817905172e-26,Underreported,American_Kestrel,OTT:964519,Falconidae,Falconiformes,none,70,0,114.61,Hawk/Falcon,Least Concern,1991877,0.05628891243134031,5142
